"É^ÉCÉgÉã(ì˙ñ{åÍ)","É^ÉCÉgÉã(âpåÍ)","íòé“(ì˙ñ{åÍ)","íòé“(âpåÍ)","éèñº(ì˙ñ{åÍ)","éèñº(âpåÍ)","ä™","çÜ","äJénÉyÅ[ÉW","èIóπÉyÅ[ÉW","èoî≈îNåé","ç∏ì«ÇÃóLñ≥","èµë“ÇÃóLñ≥","ãLèqåæåÍ","åfç⁄éÌï ","ISSN","ID:DOI","ID:JGlobalID","ID:NAID(CiNiiÇÃID)","ID:PMID","Permalink","URL","äTóv(ì˙ñ{åÍ)","äTóv(âpåÍ)"
"Quantitative explanation of circuit experiments and real traffic using the optimal velocity model","Quantitative explanation of circuit experiments and real traffic using the optimal velocity model","","","New Journal of Physics","New Journal of Physics","","","","","20160400","1","0","","0","1367-2630","10.1088/1367-2630/18/4/043040","","","","","http://orcid.org/0000-0001-9022-358X","",""
"Scaling from Circuit Experiment to Real Traffic Based on Optimal Velocity Model","Scaling from Circuit Experiment to Real Traffic Based on Optimal Velocity Model","","","Traffic and Granular Flow '15","Traffic and Granular Flow '15","","","","","20160000","1","0","","0","","10.1007/978-3-319-33482-0_66","","","","","http://orcid.org/0000-0001-9022-358X","",""
"Critical Density of Experimental Traffic Jam","Critical Density of Experimental Traffic Jam","","","Traffic and Granular Flow '13","Traffic and Granular Flow '13","","","","","20141100","1","0","","0","","10.1007/978-3-319-10629-8_56","","","","","http://orcid.org/0000-0001-9022-358X","",""
"Dynamical scaling of fragment distribution in drying paste","Dynamical scaling of fragment distribution in drying paste","","","Physical Review E","Physical Review E","","","","","20141000","1","0","","0","1539-3755","10.1103/physreve.90.042909","","","","","http://orcid.org/0000-0001-9022-358X","",""
"Phase transition in traffic jam experiment on a circuit","Phase transition in traffic jam experiment on a circuit","Tadaki Shin-ichi, Kikuchi Macoto, Fukui Minoru, Nakayama Akihiro, Nishinari Katsuhiro, Shibata Akihiro, Sugiyama Yuki, Yosida Taturu, Yukawa Satoshi","Tadaki Shin-ichi, Kikuchi Macoto, Fukui Minoru, Nakayama Akihiro, Nishinari Katsuhiro, Shibata Akihiro, Sugiyama Yuki, Yosida Taturu, Yukawa Satoshi","New Journal of Physics","New Journal of Physics","15","10","103034","","20130000","1","0","","0","","","","","","","http://orcid.org/0000-0001-9022-358X","",""
"Nonequilibrium Microscopic Distribution of Thermal Current in Particle Systems","Nonequilibrium Microscopic Distribution of Thermal Current in Particle Systems","Yukawa Satoshi, Shimada Takashi, Ogushi Fumiko, Ito Nobuyasu","Yukawa Satoshi, Shimada Takashi, Ogushi Fumiko, Ito Nobuyasu","Journal of the Physical Society of Japan","Journal of the Physical Society of Japan","78,023002","2","023002","","20090000","1","0","","0","","10.1143/JPSJ.78.023002","","","","","http://orcid.org/0000-0001-9022-358X","",""
"Scaling relation and regime map of explosive gas--liquid flow of binary Lennard-Jones particle system","Scaling relation and regime map of explosive gas--liquid flow of binary Lennard-Jones particle system","Inaoka Hajime, Yukawa Satoshi, Ito Nobuyasu","Inaoka Hajime, Yukawa Satoshi, Ito Nobuyasu","Physica A: Statistical Mechanics and its Applications","Physica A: Statistical Mechanics and its Applications","391","3","423","","20120000","1","0","","0","","","","","","","http://orcid.org/0000-0001-9022-358X","",""
"Nonequilibrium Distribution of the Microscopic Thermal Current in Steady Thermal Transport Systems","Nonequilibrium Distribution of the Microscopic Thermal Current in Steady Thermal Transport Systems","Yukawa Satoshi, Ogushi Fumiko, Shimada Takashi, Ito Nobuyasu","Yukawa Satoshi, Ogushi Fumiko, Shimada Takashi, Ito Nobuyasu","Progress of Theoretical Physics Supplement","Progress of Theoretical Physics Supplement","184","","415","","20100000","1","0","","0","","","","","","","http://orcid.org/0000-0001-9022-358X","",""
"Structures and thermodynamics of particle systems with long- and middle-range interactions","Structures and thermodynamics of particle systems with long- and middle-range interactions","","","Physics Procedia","Physics Procedia","","","","","20100000","1","0","","0","1875-3892","10.1016/j.phpro.2010.09.052","","","","","http://orcid.org/0000-0001-9022-358X","",""
"Nonequilibrium Distribution of the Microscopic Thermal Current in Steady Thermal Transport Systems","Nonequilibrium Distribution of the Microscopic Thermal Current in Steady Thermal Transport Systems","","","Progress of Theoretical Physics Supplement","Progress of Theoretical Physics Supplement","184, p415","","","","20100000","1","0","","0","0375-9687","10.1143/ptps.184.415","","","","","http://orcid.org/0000-0001-9022-358X","",""
